,Time,Open,High,Low,Close,Volume,Readable_time
185,1699462800000,43.12,43.18,42.55,42.72,154807.15000000,2023-11-08 17:00:00
186,1699466400000,42.73,43.27,42.65,43.23,168408.58000000,2023-11-08 18:00:00
187,1699470000000,43.23,43.61,43.04,43.1,232024.84000000,2023-11-08 19:00:00
188,1699473600000,43.08,43.34,42.9,43.1,129944.10000000,2023-11-08 20:00:00
189,1699477200000,43.1,43.34,42.63,43.06,230578.01000000,2023-11-08 21:00:00
190,1699480800000,43.05,43.4,42.78,43.25,279442.15000000,2023-11-08 22:00:00
191,1699484400000,43.26,43.51,43.07,43.13,311619.83000000,2023-11-08 23:00:00
192,1699488000000,43.12,43.42,42.62,42.84,364749.86000000,2023-11-09 00:00:00
193,1699491600000,42.83,43.33,42.5,43.09,276914.86000000,2023-11-09 01:00:00
194,1699495200000,43.1,43.97,43.0,43.96,418889.07000000,2023-11-09 02:00:00
195,1699498800000,43.96,44.15,43.62,44.09,275697.01000000,2023-11-09 03:00:00
196,1699502400000,44.09,44.54,44.07,44.46,379699.68000000,2023-11-09 04:00:00
197,1699506000000,44.46,44.6,43.88,44.46,263957.61000000,2023-11-09 05:00:00
198,1699509600000,44.46,44.61,44.1,44.2,227897.95000000,2023-11-09 06:00:00
199,1699513200000,44.2,44.43,43.8,43.9,237952.35000000,2023-11-09 07:00:00
200,1699516800000,43.9,45.09,43.88,44.97,510480.75000000,2023-11-09 08:00:00
201,1699520400000,44.98,46.78,44.59,46.5,985636.84000000,2023-11-09 09:00:00
202,1699524000000,46.49,47.03,46.19,46.69,564328.31000000,2023-11-09 10:00:00
203,1699527600000,46.69,47.45,46.3,47.13,508901.87000000,2023-11-09 11:00:00
204,1699531200000,47.13,48.15,47.13,47.84,857812.80000000,2023-11-09 12:00:00
205,1699534800000,47.84,48.01,47.08,47.5,551444.89000000,2023-11-09 13:00:00
206,1699538400000,47.5,48.88,47.25,48.56,928102.06000000,2023-11-09 14:00:00
207,1699542000000,48.55,48.75,45.72,46.4,1316781.27000000,2023-11-09 15:00:00
208,1699545600000,46.4,46.8,41.36,45.3,1687539.60000000,2023-11-09 16:00:00
209,1699549200000,45.31,45.64,44.24,45.47,531929.30000000,2023-11-09 17:00:00
210,1699552800000,45.47,45.54,43.63,43.82,303163.13000000,2023-11-09 18:00:00
211,1699556400000,43.82,44.49,43.63,44.42,274325.50000000,2023-11-09 19:00:00
212,1699560000000,44.41,44.42,43.04,44.28,280198.29000000,2023-11-09 20:00:00
213,1699563600000,44.27,45.15,44.19,45.05,301374.50000000,2023-11-09 21:00:00
214,1699567200000,45.03,45.74,44.73,45.4,255110.59000000,2023-11-09 22:00:00
215,1699570800000,45.39,45.59,44.96,45.29,244053.24000000,2023-11-09 23:00:00
216,1699574400000,45.3,46.22,45.05,45.25,512519.73000000,2023-11-10 00:00:00
217,1699578000000,45.25,46.28,45.08,46.17,301422.71000000,2023-11-10 01:00:00
218,1699581600000,46.17,46.7,45.87,46.65,254581.22000000,2023-11-10 02:00:00
219,1699585200000,46.64,47.99,46.42,47.4,492437.12000000,2023-11-10 03:00:00
220,1699588800000,47.41,47.66,46.82,47.46,260146.92000000,2023-11-10 04:00:00
